구분,노선번호,기점지,경유지,종점지,배차간격,운행횟수,등록기준일
BRT,B0,세종고속시외버스터미널,정부세종청사,세종고속시외버스터미널,8~12분,112,2025-05-27
BRT,B2,오송역,정부세종청사,반석역,6~10분,124,2025-05-27
BRT,B4,오송역,세종시청,반석역,20~30분,62,2025-05-27
BRT,B5,세종고속시외버스터미널,고운동+아름동,세종고속시외버스터미널,15~20분,54,2025-05-27
BRT,B6,세종고속시외버스터미널,정부세종청사,오송역,5~100분,40,2025-05-27
BRT,B7,기하종점,정부세종청사,반석역,22분,64,2025-05-27
광역버스,1004,장기중학교,다정동커뮤니티센터,반석역,12~20,62,2025-05-27
광역버스,1005,은하수공원,다정동커뮤니티센터,오송역,15~20,55.5,2025-05-27
광역버스,1000,조형아파트,세종터미널,반석역,13~20분,64,2025-05-27
광역버스,1001,집현동,현대아울렛,대전시청환승지,12~14분,40,2025-05-27
광역버스,1003,반석역,다정동,오송2지구,10~20분,64,2025-05-27
광역버스,M1,누리동,새롬동,반석역,15분,35,2025-05-27
지선버스,11,조치원터미널,신안리,조치원터미널,30분,,2025-05-27
지선버스,12,조치원터미널,번암리,조치원터미널,30분,,2025-05-27
지선버스,13,조치원터미널,세종시민체육관,조치원역,,1회,2025-05-27
지선버스,52,장군면사무소,공정거래위원회,장군면사무소,30분,,2025-05-27
지선버스,53,장군면사무소,한솔동,장군면사무소,30분,,2025-05-27
지선버스,61,세종터미널,한국영상대,세종터미널,60분,,2025-05-27
지선버스,300,조치원터미널,부강역,신탄진역,40분,,2025-05-27
지선버스,910,조치원터미널,해정리,병천고등학교,,3회,2025-05-27
지선버스,201,정부세종청사,고운동커뮤니티센터,정부세종청사,10~20분,60회,2025-05-27
지선버스,202,정부세종청사,두루중학교,정부세종청사,10~20분,61회,2025-05-27
지선버스,203,세종터미널,정부세종청사,세종터미널,10~15분,57회,2025-05-27
지선버스,204,충남대병원세종의원,다정동커뮤니티센터,충남대병원세종의원,10~20분,61회,2025-05-27
지선버스,221,세종터미널,세종호수공원,두루초+중학교,10~15분,61회,2025-05-27
지선버스,222,수루배마을6단지,정부세종청사,축산품질평가원,10~20분,61회,2025-05-27
지선버스,271,누리동,도램마을,누리동,16~18분,65회,2025-05-27
지선버스,272,누리동,세종터미널,공동캠퍼스,20분,51.5회,2025-05-27
지선버스,273,누리동,정부세종청사,공동캠퍼스,17~18분,62.5회,2025-05-27
지선버스,274,누리동,호수공원,누리동,30분,17회,2025-05-27
지선버스,275,누리동,나성동,시립도서관,24분,44회,2025-05-27
지선버스,279,누리동,국무조정실,새나루마을1단지,19분,54회,2025-05-27
간선버스,340,조치원터미널,명학산업단지,세종터미널,60분,18회,2025-05-27
간선버스,430,꽃동네대학교,명학산업단지,세종터미널,30분,35회,2025-05-27
간선버스,550,조치원역,정부세종청사,산성동종점,60분,11회,2025-05-27
간선버스,551,조치원역,정부세종청사,산성시장,,,2025-05-27
간선버스,601,조치원역,정부세종청사,수루배마을 8+9단지,10~20분,75회,2025-05-27
간선버스,655,세종터미널,용담리,충남대학교,30분,35회,2025-05-27
간선버스,801,문화체육관광부,전의면사무소,민석아파트,20분,53회,2025-05-27
간선버스,991,대곡리,정부세종청사,국책연구단지,30분,36회,2025-05-27
마을버스,16,조치원터미널,은하수공원,조치원터미널,,8회,2025-05-27
마을버스,17,조치원터미널,보통1리,조치원터미널,,6회,2025-05-27
마을버스,35,부강면,부강산업단지,금호리,,11회,2025-05-27
마을버스,62,세종터미널,,금강수목원,,8회,2025-05-27
마을버스,64,세종터미널,감성초등학교,금천2리,,10회,2025-05-27
마을버스,66,세종터미널,남곡리,달전리,,7회,2025-05-27
마을버스,661,세종터미널,둔곡동,송강마을아파트,,2회,2025-05-27
마을버스,67,세종터미널,석교리,부용2리,,9회,2025-05-27
마을버스,69,세종터미널,황용리,신동2통,,3회,2025-05-27
마을버스,691,세종터미널,황용리,송강마을아파트,,5회,2025-05-27
마을버스,71,조치원터미널,연서면,청라리,,8회,2025-05-27
마을버스,72,조치원터미널,신대2리+기룡리,조치원터미널,,8회,2025-05-27
마을버스,73,조치원터미널,기룡리,조치원터미널,,1회,2025-05-27
마을버스,74,조치원터미널,,전당골,,8회,2025-05-27
마을버스,75,조치원터미널,용암2리,장군면,,8회,2025-05-27
마을버스,76,조치원터미널,,쌍전리,,1회,2025-05-27
마을버스,81,전의역,베어트리파크,송성3리,,9회,2025-05-27
마을버스,82,전의역,세종미래산업단지,다방1리,,10회,2025-05-27
마을버스,83,전의역,세종첨단산업단지,전의역,,10회,2025-05-27
마을버스,84,전의역,전의산업단지,전의역,,10회,2025-05-27
마을버스,85,전의역,소정리,고등1리,,7회,2025-05-27
마을버스,86,조치원터미널,다방1리,재동아파트,,4회,2025-05-27
마을버스,91,조치원터미널,심중리,봉대리,,8회,2025-05-27
마을버스,92,조치원터미널,석곡리,청람리,,8회,2025-05-27
마을버스,93,조치원터미널,송곡1리,송정리,,13회,2025-05-27
마을버스,94,조치원터미널,송곡2리,송정리,,6회,2025-05-27
마을버스,95,조치원터미널,베어트리파크,송성3리,,4회,2025-05-27
