,06시,07시,08시,09시,12시,15시,17시,18시,19시,21시
세종세무서,0.2793,0.7719,0.9187,0.6363,0.3996,0.375,0.7899,0.9197,0.6879,0.2676
서창리,0.2157,0.6852,0.8671,0.5357,0.3055,0.2813,0.7103,0.8713,0.5842,0.1927
세종여자고등학교,0.211,0.6816,0.8645,0.5263,0.3109,0.2836,0.7061,0.8694,0.5805,0.1991
한화사원아파트,0.2373,0.7271,0.8874,0.5769,0.3396,0.3138,0.7409,0.8933,0.6273,0.2231
부강3리,0.2432,0.719,0.8865,0.5774,0.3423,0.3177,0.7427,0.893,0.6278,0.2213
부강면,0.2402,0.7245,0.8863,0.5777,0.343,0.3168,0.7427,0.895,0.6202,0.2251
조치원역뒤편,0.2847,0.7757,0.9186,0.639,0.3995,0.3711,0.7938,0.9222,0.6883,0.2683
성호아파트,0.1776,0.6278,0.8251,0.4683,0.2604,0.237,0.6517,0.8345,0.5203,0.1706
부강삼거리,0.1683,0.6052,0.8029,0.4485,0.2434,0.2192,0.6251,0.8117,0.4906,0.1526
송용리,0.1777,0.625,0.8213,0.4657,0.266,0.2363,0.6477,0.8272,0.5211,0.1619
내판리(외판1교),0.1789,0.622,0.8225,0.4616,0.2595,0.235,0.6484,0.8277,0.5176,0.1654
연동중학교,0.1802,0.6282,0.8213,0.4688,0.2649,0.2419,0.6469,0.8242,0.5153,0.1654
