,06시,07시,08시,09시,12시,15시,17시,18시,19시,21시
세종세무서,7.61,18.5,23.34,15.54,10.93,10.16,19.34,24.35,17.4,9.54
서창리,5.78,14.09,17.52,11.89,8.21,7.52,14.82,18.3,13.22,6.97
세종여자고등학교,5.7,13.99,17.62,11.82,8.24,7.59,14.77,18.29,13.24,7.13
한화사원아파트,6.38,15.73,19.73,13.3,9.16,8.38,16.49,20.5,14.69,7.95
부강3리,6.51,15.59,19.72,13.28,9.24,8.51,16.44,20.5,14.75,7.93
부강면,6.46,15.67,19.66,13.24,9.19,8.49,16.54,20.5,14.62,8.01
조치원역뒤편,7.71,18.56,23.4,15.58,10.95,10.07,19.51,24.39,17.41,9.56
성호아파트,4.84,12.16,15.11,10.15,6.98,6.36,12.75,15.76,11.4,6.13
부강삼거리,4.57,11.37,14.16,9.63,6.54,5.94,11.96,14.7,10.64,5.57
송용리,4.8,12.03,14.95,10.06,7.03,6.37,12.61,15.47,11.38,5.92
내판리(외판1교),4.85,11.94,14.94,9.97,6.94,6.29,12.68,15.5,11.28,6.0
연동중학교,4.86,12.04,15.03,10.12,7.04,6.43,12.62,15.44,11.3,5.96
