개선우선순위,정류소명,동,등급,취약도점수,대표배차분,최근접BRT_m,반경500m_학교수,반경500m_병의원수,동_병의원수,정책처방
1,세종세무서,조치원읍,E,0.835,960.0,3428.3230626500504,2,0,72,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
2,서창리,조치원읍,E,0.835,68.57142857142857,4264.661720835691,2,0,72,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
3,세종여자고등학교,조치원읍,E,0.835,68.57142857142857,3875.309879311834,2,0,72,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
4,한화사원아파트,부강면,E,0.783,87.27272727272727,4345.169258233264,2,0,10,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
5,부강3리,부강면,E,0.783,87.27272727272727,4285.664368266739,2,0,10,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
6,부강면,부강면,E,0.783,87.27272727272727,4102.800705336999,2,0,10,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
7,조치원역뒤편,조치원읍,E,0.776,480.0,3642.7888214003206,1,0,72,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
8,봉산1리,조치원읍,E,0.718,960.0,4845.690063456788,0,0,72,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
9,신흥사거리,조치원읍,E,0.718,120.0,4349.05414025206,2,0,0,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
10,연서초등학교,연서면,E,0.718,80.0,5694.4204174104025,2,0,0,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
11,연서중학교,연서면,E,0.718,80.0,5514.288309966911,2,0,0,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
12,봉산리(중뜸),조치원읍,E,0.718,73.84615384615384,4896.3010589271535,0,0,72,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
13,봉산1리마을회관,조치원읍,E,0.718,68.57142857142857,4724.452429185578,0,0,72,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
14,봉산리,조치원읍,E,0.718,68.57142857142857,4511.306866974175,0,0,72,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
15,소정리,소정면,E,0.689,137.14285714285714,19201.194864317396,1,0,2,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
16,소정면사무소,소정면,E,0.689,137.14285714285714,19032.61575236027,1,0,2,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
17,소정리역,소정면,E,0.689,137.14285714285714,18923.170340224617,1,0,2,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
18,부강9리,부강면,E,0.666,87.27272727272727,4023.314019010551,0,0,10,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
19,대동초등학교,조치원읍,E,0.659,960.0,4091.2070928567096,1,0,0,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
20,삼일아파트,조치원읍,E,0.659,960.0,3902.308438502702,1,0,0,배차 조정 + 두루타버스 연계 + 정류장 개선 패키지
