정류소명,정류소ID,위도,경도,노선들,지선노선,노선수,최소배차분_전체,평균배차분_전체,최대배차분_전체,합산배차분_전체,지선최소배차분,지선평균배차분,지선합산배차분,지선최대배차분,대표배차분,최대배차폭,최근접BRT_m,반경500m_학교수,동_병의원수,반경500m_병의원수,환승위험,도착불안정,약자인접도,취약도점수,BRT경유,지선환승필수,대기취약,대기심각,약자인접,병의원인접,배차기준,병의원산정방식,동,등급,정책처방,등급가중치,개선우선순위
(주)레이크엘이디앞,SJB293064341,36.6980972,127.2210106,84,84,1,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,0.0,12994.421059096358,0,0,0,1.0,0.7,0.0,0.6,False,True,True,True,False,False,combined_feeder,행정동 단위 병의원 수 보조지표,전의면,C,"지선-BRT 환승 시간표 보정, 배차간격 조정",3,260
KCC앞,"SJB293013008,SJB293019001",36.708595,127.152915,85,85,1,137.14285714285714,137.14285714285714,137.14285714285714,137.14285714285714,137.14285714285714,137.14285714285714,137.14285714285714,137.14285714285714,137.14285714285714,0.0,18558.39056361287,0,2,0,1.0,0.7,0.10242374307345076,0.63,False,True,True,True,False,False,combined_feeder,행정동 단위 병의원 수 보조지표,소정면,C,"지선-BRT 환승 시간표 보정, 배차간격 조정",3,98
"가득초등학교(새뜸마을3,4단지)","SJB293064312,SJB293064313",36.4853828,127.24538634999999,1005,1005,1,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,5.0,1097.289427327053,3,28,0,0.5486447136635265,0.2791666666666667,0.913933356198811,0.561,False,True,False,False,True,True,combined_feeder,행정동 단위 병의원 수 보조지표,새롬동,B,출퇴근·등하교 시간대 집중 모니터링,2,395
"가락마을10,13단지","SJB293064117,SJB293064118",36.513488699999996,127.22951925,"1004,1005,201","1004,1005,201",3,15.0,16.166666666666668,17.5,5.367412140575079,15.0,16.166666666666668,5.367412140575079,17.5,5.367412140575079,10.0,1088.8624724508084,4,17,0,0.5444312362254041,0.21261980830670923,1.0,0.561,False,True,False,False,True,True,combined_feeder,행정동 단위 병의원 수 보조지표,고운동,B,출퇴근·등하교 시간대 집중 모니터링,2,396
가락마을14단지,"SJB293064106,SJB293064107",36.51298105,127.23325955000001,221,221,1,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,5.0,752.0673530593662,3,17,0,0.37603367652968306,0.22083333333333333,0.8694696731241001,0.466,False,True,False,False,True,True,combined_feeder,행정동 단위 병의원 수 보조지표,고운동,B,출퇴근·등하교 시간대 집중 모니터링,2,492
"가락마을17,18단지","SJB293064113,SJB293064114",36.51972585,127.23494525000001,"1004,1005,201","1004,1005,201",3,15.0,16.166666666666668,17.5,5.367412140575079,15.0,16.166666666666668,5.367412140575079,17.5,5.367412140575079,10.0,679.0820746997194,2,31,0,0.33954103734985974,0.21261980830670923,0.7231109348859928,0.408,False,True,False,False,True,True,combined_feeder,행정동 단위 병의원 수 보조지표,아름동,B,출퇴근·등하교 시간대 집중 모니터링,2,534
가락마을22단지,"SJB293064097,SJB293064098",36.5201129,127.24084405,"1004,1005,201","1004,1005,201",3,15.0,16.166666666666668,17.5,5.367412140575079,15.0,16.166666666666668,5.367412140575079,17.5,5.367412140575079,10.0,374.0111107063922,2,31,0,0.18700555535319607,0.21261980830670923,0.7231109348859928,0.354,False,False,False,False,True,True,combined_feeder,행정동 단위 병의원 수 보조지표,아름동,A,현행 유지 및 정기 모니터링,1,577
가락마을6단지,"SJB293064352,SJB293064354",36.50250825,127.23863754999999,"1005,201","1005,201",2,15.0,16.25,17.5,8.076923076923077,15.0,16.25,8.076923076923077,17.5,8.076923076923077,10.0,245.72702194705852,3,34,0,0.12286351097352925,0.2442307692307692,0.9314654861799867,0.404,False,False,False,False,True,True,combined_feeder,행정동 단위 병의원 수 보조지표,종촌동,A,현행 유지 및 정기 모니터링,1,570
"가락마을7,8단지","SJB293064158,SJB293064205",36.50538645,127.23989645,221,221,1,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,5.0,258.79496417277215,3,34,0,0.12939748208638607,0.22083333333333333,0.9314654861799867,0.384,False,False,False,False,True,True,combined_feeder,행정동 단위 병의원 수 보조지표,종촌동,A,현행 유지 및 정기 모니터링,1,572
가락마을8단지.가재마을4단지,"SJB293064472,SJB293064475",36.5076552,127.24139645,B5,,1,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,5.0,0.0,2,17,0,0.0,0.2791666666666667,0.6694696731241,0.295,True,False,False,False,True,True,combined_feeder,행정동 단위 병의원 수 보조지표,고운동,A,현행 유지 및 정기 모니터링,1,
"가락마을9,11단지","SJB293064119,SJB293064120",36.51062245,127.22976095000001,"1004,1005,201","1004,1005,201",3,15.0,16.166666666666668,17.5,5.367412140575079,15.0,16.166666666666668,5.367412140575079,17.5,5.367412140575079,10.0,1046.623373559708,2,17,0,0.523311686779854,0.21261980830670923,0.6694696731241,0.457,False,True,False,False,True,True,combined_feeder,행정동 단위 병의원 수 보조지표,고운동,B,출퇴근·등하교 시간대 집중 모니터링,2,500
가락초등학교,"SJB293064091,SJB293064092",36.51565495,127.23368314999999,221,221,1,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,5.0,699.8235742199943,1,17,0,0.34991178710999715,0.22083333333333333,0.46946967312410004,0.34,False,True,False,False,True,True,combined_feeder,행정동 단위 병의원 수 보조지표,고운동,B,출퇴근·등하교 시간대 집중 모니터링,2,552
