순번,설립구분,학교구분,학교명,지역,학교전화번호,학교팩스번호,학급수,학생인원,주소,홈페이지주소
1,공립,유치원,조치원대동초등학교병설유치원,조치원읍,044-861-4605,044-867-3423,4,46,세종특별자치시 조치원읍 대동학교길 11,
2,공립,유치원,조치원명동초등학교병설유치원,조치원읍,044-862-5452,044-866-9990,1,5,세종특별자치시 조치원읍 조치원10길 35,
3,공립,유치원,조치원교동초등학교병설유치원,조치원읍,044-902-4874,044-902-4860,3,30,세종특별자치시 조치원읍 새내 18길 21,
4,공립,유치원,조치원신봉초등학교병설유치원,조치원읍,044-902-1470,044-866-9991,1,16,세종특별자치시 조치원읍 서북부로 10,
5,공립,유치원,연남초등학교병설유치원,연기면,044-863-8355,044-863-5717,1,14,세종특별자치시 연기면 연기길 2,
6,공립,유치원,연동초등학교병설유치원,연동면,044-864-7831,044-866-9992,1,5,세종특별자치시 연동면 청연로 606-36,
7,공립,유치원,부강초등학교병설유치원,부강면,044-902-1690,044-902-1675,3,16,세종특별자치시 부강면 부강로 15,
8,공립,유치원,금남초등학교병설유치원,금남면,044-866-9720,044-866-5935,3,26,세종특별자치시 금남면 금남구즉로 62,
9,공립,유치원,감성초등학교병설유치원,금남면,044-866-7058,044-866-5934,1,5,세종특별자치시 금남면 감성길 6,
10,공립,유치원,장기초등학교병설유치원,장군면,044-858-1249,044-857-1007,1,8,세종특별자치시 장군면 장척로 398-9,
11,공립,유치원,의랑초등학교병설유치원,장군면,044-855-0868,044-855-0788,1,2,세종특별자치시 장군면 태산길 50-1,
12,공립,유치원,세종도원초등학교병설유치원,연서면,044-868-7257,044-868-7259,1,9,세종특별자치시 연서면 도원로 63,
13,공립,유치원,연봉초등학교병설유치원,연서면,044-867-5509,044-867-5712,1,11,세종특별자치시 연서면 당산로 357-1,
14,공립,유치원,연서초등학교병설유치원,연서면,044-867-3452,044-867-7134,1,4,세종특별자치시 연서면 연서로 148,
15,공립,유치원,쌍류초등학교병설유치원,연서면,044-863-0258,044-863-5711,1,6,세종특별자치시 연서면 벌말길 73,
16,공립,유치원,전의초등학교병설유치원,전의면,044-862-3850,044-863-6552,2,11,세종특별자치시 전의면 운주산로 1204-9,
17,공립,유치원,전동초등학교병설유치원,전동면,044-863-1248,044-863-5716,1,2,세종특별자치시 전동면 하노장3길 9,
18,공립,유치원,소정초등학교병설유치원,소정면,044-566-6009,044-566-6465,2,10,세종특별자치시 소정면 학교말길 10,
19,공립,유치원,솔빛초등학교병설유치원,반곡동,044-410-2590,044-410-2580,4,68,세종특별자치시 반곡2길 21,
20,공립,유치원,나루초등학교병설유치원,집현동,044-960-9700,044-960-9799,11,142,세종특별자치시 집현서로 90 (집현동),
21,공립,유치원,참샘유치원,한솔동,044-868-1793,044-864-1795,6,68,세종특별자치시 노을1로 27,http://charmsaem.sjedukg.kr
22,공립,유치원,한솔유치원,한솔동,044-410-4510,044-410-4523,7,96,세종특별자치시 누리로 32,http://sjhansol.sjedukg.kr/
23,공립,유치원,도담유치원,도담동,044-715-5401,044-715-5410,6,99,세종특별자치시 보람로 33,http://dodam.sjedukg.kr
24,공립,유치원,연세유치원,도담동,044-905-6599,044-865-3752,6,73,세종특별자치시 다솜로 291,http://yeonse.sjedukg.kr
25,공립,유치원,아름유치원,아름동,044-998-3123,044-998-3125,10,123,세종특별자치시 달빛2로 29,http://areum.sjedukg.kr
26,공립,유치원,연양유치원,도담동,044-998-7402,044-998-7408,8,131,세종특별자치시 도움3로 47-9,http://yeonyang.sjedukg.kr
27,공립,유치원,미르유치원,한솔동,044-998-2102,044-998-2116,7,91,세종특별자치시 나리로 26-10,http://mir.sjedukg.kr
28,공립,유치원,가온유치원,도담동,044-867-3062,044-867-3064,7,90,세종특별자치시 보람로 71,http://gaon.sjedukg.kr
29,공립,유치원,나래유치원,아름동,044-868-3251,044-868-3263,10,134,세종특별자치시 달빛1로 107,https://narae.sjedukg.kr/
30,공립,유치원,양지유치원,도담동,044-866-6021,044-866-7514,9,131,세종특별자치시 보듬8로 13,http://yangji.sjedukg.kr
31,공립,유치원,고운유치원,고운동,044-716-6202,044-716-6236,13,195,세종특별자치시 만남로 47,http://gowoon.sjedukg.kr
32,공립,유치원,슬기유치원,고운동,044-716-6301,044-716-6336,7,85,세종특별자치시 만남로 264,http://seulgi.sjedukg.kr
33,공립,유치원,두루유치원,고운동,044-903-2901,044-903-2915,7,78,세종특별자치시 만남로 223,http://duru.sjedukg.kr
34,공립,유치원,온빛유치원,고운동,044-716-6501,044-716-6536,6,73,세종특별자치시 만남로 170,http://onbit.sjedukg.kr
35,공립,유치원,으뜸유치원,고운동,044-716-6103,044-716-6135,8,105,세종특별자치시 마음로 130,https://eutteum.sjedukg.kr/
36,공립,유치원,올망유치원,종촌동,044-716-6401,044-716-6436,7,71,세종특별자치시 도움1로 43,http://olmang.sjedukg.kr
37,공립,유치원,종촌유치원,종촌동,044-903-2952,044-903-2959,8,90,세종특별자치시 도움1로 164,http://jongchon.sjedukg.kr
38,공립,유치원,도란유치원,종촌동,044-903-2801,044-903-2814,8,87,세종특별자치시 도움3로 126,http://doran.sjedukg.kr
