순번,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호
1,강남세종한방병원,한방병원,"세종특별자치시 한누리대로 2275, 알파메디컬센터 4~6층 (대평동)",044-863-7775
2,세종하이한방병원,한방병원,"세종특별자치시 갈매로 58, 황산프라자 3층 6층 (대평동)",044-999-1999
3,서울현병원,병원,"세종특별자치시 나성북로 15, MVG 4-7층 (나성동)",1600-5626
4,아름드리나무어린이병원,병원,"세종특별자치시 보듬3로 101, 5~7층 (아름동)",044-715-7200
5,세종경희한방병원,한방병원,"세종특별자치시 대평4길 17, 센트럴테라스 4, 5층 (대평동)",044-414-9599
6,세종충남대학교병원,종합병원,"세종특별자치시 보듬7로 20, 세종충남대학교병원 (도담동)",1800-3114
7,오케이한방병원,한방병원,"세종특별자치시 한누리대로 331, 2층,3층 (301~315)호 (나성동, SR파크센텀)",044-1668-0090
8,트리니움여성병원,병원,"세종특별자치시 한누리대로 1934, 메인타워 (반곡동)",044-270-0114
9,의료법인 영제 의료재단 엔케이세종병원,종합병원,"세종특별자치시 한누리대로 161, 세종시 NK리움힐 상가 1~8층 (나성동)",044-850-7700
10,단국대학교 치과대학 세종치과병원,치과병원,"세종특별자치시 도움8로 87, 단국빌딩 1(일부), 3층 (어진동)",044-410-5000
11,의료법인은혜의료재단 은혜병원,정신병원,"세종특별자치시 연서면 효교로 135-16, 은혜병원",044-868-5004
12,운주산성요양병원,요양병원(일반요양병원),세종특별자치시 전동면 모산고개길 96-25,1544-0240
13,조치원노인전문병원,요양병원(일반요양병원),세종특별자치시 연서면 도신고복로 789-17,044-862-7607
14,의료법인 씨지예스의료재단 세종중앙요양병원,요양병원(일반요양병원),세종특별자치시 조치원읍 섭골길 37,044-865-0066
15,본편한정형외과의원,의원,"세종특별자치시 한누리대로 1844, 행복드림타워 3층 308~313호 (반곡동)",044-715-5900
16,브릭스피부과의원,의원,"세종특별자치시 소담로 87, 6층 602호 (소담동)",044-715-7587
17,세종 장내과의원,의원,"세종특별자치시 나성북로 15, MVG 2층 204~207, 211~212호 (나성동)",044-715-7554
18,경희정한의원,한의원,"세종특별자치시 보듬3로 8-20, 세종한신휴시티 2층 209호 (도담동)",044-715-5489
19,보람솔한의원,한의원,"세종특별자치시 한누리대로 2149, 엔젤타워 3층 305,306호 (보람동)",070-4355-6772
20,세종365믿음정형외과의원,의원,"세종특별자치시  세종로 1229, 스타플레이스 201~209, 301~303, 308~310호 (고운동) (고운동)",044-866-7582
21,해밀바른정형외과의원,의원,"세종특별자치시 해밀3로 51, 스카이허브 7층 701호~703호 (해밀동)",044-715-5755
22,바로한의원,한의원,"세종특별자치시 조치원읍 조치원로 24, 2,3층",044-865-7583
23,세종참빛한의원,한의원,"세종특별자치시 보듬3로 143, 대영프라자 402호, 403호 (아름동)",070-4118-8872
24,퍼스트아이소아청소년과의원,의원,"세종특별자치시 갈매로 740, 201~207호 (해밀동)",044-905-1110
25,가온산부인과의원,의원,"세종특별자치시  나성로 96, 520-526호 (나성동)",044-864-3552
26,류마플러스내과의원,의원,"세종특별자치시 한누리대로 499, 청암빌딩 401호 (어진동)",044-715-7550
27,더본한의원,한의원,"세종특별자치시 소담로 93, 아이콤스타시티타워 205,206,207호 (소담동)",044-862-7506
28,정담한의원,한의원,"세종특별자치시 한누리대로 245, 에스알파크원 203호 (나성동)",044-864-5657
29,청담와이즈의원,의원,"세종특별자치시 한누리대로 499, 청암빌딩 403호 (어진동)",044-868-7575
30,가온한의원,한의원,"세종특별자치시 한누리대로 492, 청암홈빌딩 306호 (어진동)",044-866-1998
31,세종대왕한의원,한의원,"세종특별자치시 도움3로 105-5, 종촌 중앙프라자 204,205,206호 (종촌동)",044-863-8279
32,세종미체원365의원,의원,"세종특별자치시 한누리대로 1834, 401,402,403호 (반곡동)",044-865-3651
33,아워스한의원,한의원,"세종특별자치시 한누리대로 253, 에스빌딩 202호 (나성동)",044-905-0445
34,라메종의원,의원,"세종특별자치시 해밀3로 43, 스카이드림 503호 (해밀동)",044-715-7878
35,경희피어라한의원,한의원,"세종특별자치시 아름서1길 13-12, 세종 제이디빌딩 203호 (아름동)",044-864-0712
36,백룡의원,의원,세종특별자치시 금남면 채나무길 71,042-829-6171
37,백룡치과의원,치과의원,세종특별자치시 금남면 채나무길 71,042-829-6171
38,세종서울정신건강의학과의원,의원,"세종특별자치시 보듬3로 143, 대영프라자 603호 (아름동)",044-715-5432
39,세종정신건강의학과의원,의원,"세종특별자치시 한누리대로 350, 뱅크빌딩 4층 404호 (어진동)",070-5029-1449
40,서울온가족치과의원,치과의원,"세종특별자치시 한누리대로 1844, 404,405,406호 (반곡동)",044-862-2275
41,세종이엠365의원,의원,"세종특별자치시 국세청로 32, 마크원애비뉴 D-406,407,410,411,412,413A,413B,414A,414B,415, C-401 (나성동)",044-863-7119
42,싱긋삼성이비인후과의원,의원,"세종특별자치시 다정중앙로 52, 페스티발2 507,508,509호 (다정동)",044-998-9274
43,세종해밀한의원,한의원,"세종특별자치시 해밀3로 51, 스카이허브 402호 (해밀동)",044-715-5488
44,박정준한의원,한의원,"세종특별자치시 고운서길 7, 골드프라자 202호 (고운동)",044-862-1070
45,이은석한의원,한의원,"세종특별자치시 한누리대로 2165, 호려울마을7단지 근린생활시설 A-424,425호 (보람동)",044-903-1229
46,화인마취통증의학과의원,의원,"세종특별자치시 한누리대로 249, 에스제이타워 508,509호 (나성동)",044-715-5875
47,연세하트내과의원,의원,"세종특별자치시 새롬중앙로 59, 새롬빌딩 5층 502,503호 (새롬동)",044-715-7580
48,에스지연합의원,의원,"세종특별자치시 갈매로 58, 황산프라자 5층 501~511호 (대평동)",044-864-9991
49,강남세종치과의원,치과의원,"세종특별자치시 마음로 264, 고운프라자 2층 205호 (고운동)",044-864-8111
50,로안한의원,한의원,"세종특별자치시 한누리대로 1844, 402,403호 (반곡동)",044-866-7579
51,퍼스트한의원,한의원,"세종특별자치시 나성북로 30, 퍼스트원 628,629,630,631호 (나성동)",044-417-7875
52,세종온정성한의원,한의원,"세종특별자치시 나성북1로 12, 메가타워2 301호 (나성동)",044-866-1207
53,허브힐한의원,한의원,"세종특별자치시 해밀3로 51, 스카이허브 3층 301호 (해밀동)",044-862-7975
54,아름튼튼정형외과의원,의원,"세종특별자치시 보듬3로 92, 해피라움2 3층 301,302,315호 (아름동)",044-715-5375
55,코난소아청소년과의원,의원,"세종특별자치시 남세종로 73, 1층 109,110호 (집현동)",044-715-7551
56,어진서부한의원,한의원,"세종특별자치시 한누리대로 411, KT&G세종타워A 2층 3호 (어진동)",044-960-5333
57,연세더아름의원,의원,"세종특별자치시 보듬3로 101, 2층 203,204,205호 (아름동)",044-715-7911
58,마음현정신건강의학과의원,의원,"세종특별자치시 한누리대로 275, 형성프라자 6층 606,607호 (나성동)",044-862-3217
59,범지기한의원,한의원,"세종특별자치시 보듬3로 101, 2층 201,202호 (아름동)",044-998-0700
60,김종열한의원,한의원,"세종특별자치시 한누리대로 2275, 알파메디컬센터 3층 312,313호 (대평동)",070-7576-7077
61,꿈담소아청소년과의원,의원,"세종특별자치시 마음로 264, 고운프라자 2층 201-1호, 201-2호 (고운동)",044-715-7545
62,더블유세종어진건강의원,의원,"세종특별자치시 한누리대로 350, 뱅크빌딩 4층 401호 (어진동)",044-715-5262
63,중앙소아청소년과의원,의원,"세종특별자치시 한누리대로 2257, 판타지타워 404, 405호 (대평동)",044-715-7475
64,손근형소아청소년과의원,의원,"세종특별자치시 나성북로 30, 퍼스트원 632,633,634,635호 (나성동)",044-715-5975
