정류소ID,정류소명,위도,경도,노선수,BRT경유,지선노선수,BRT최근접거리km,동,동까지km,병원,학교,시설합,환승부담,대안부족,약자인접,취약도점수,등급
SJB293064220,세종고속시외버스터미널(지하),36.4708162,127.2731717,3,True,0,0.0,대평동,0.5054568850715129,18,4,22,0.0,0.3333333333333333,0.7039177700774191,0.346,A
SJB293053011,한솔동,36.48034,127.26243,2,True,0,0.0,한솔동,0.08334990483796419,2,8,10,0.0,0.5,0.5383269676379318,0.338,A
SJB293053005,새롬동.나성동,36.48685,127.25785,2,True,0,0.0,나성동,0.05598270652629193,65,0,65,0.0,0.5,0.9405765790984211,0.479,A
SJB293054003,다정동,36.4939251,127.2563976,2,True,0,0.0,다정동,0.6859611845295174,20,10,30,0.0,0.5,0.7709293811404035,0.42,A
SJB293062006,정부세종청사남측,36.5008869,127.2596196,2,True,0,0.0,어진동,0.31707512769784124,33,0,33,0.0,0.5,0.7916671714354506,0.427,A
SJB293062011,정부세종청사북측,36.504176,127.2611617,2,True,0,0.0,어진동,0.10094583303392868,33,0,33,0.0,0.5,0.7916671714354506,0.427,A
SJB293056003,도담동,36.5140662,127.259188,2,True,0,0.0,도담동,0.0459726375171468,15,18,33,0.0,0.5,0.7916671714354506,0.427,A
SJB293064445,세종충남대학교병원,36.520517,127.259481,2,True,0,0.0,산울동,0.5455633523673117,0,6,6,0.0,0.5,0.43685640558202377,0.303,A
SJB293014014,해밀리,36.528653,127.2638902,2,True,0,0.0,해밀동,0.06540708360078339,12,4,16,0.0,0.5,0.6360557800329567,0.373,A
SJB293014025,한별리,36.53377,127.27527,3,True,0,0.0,연기면,0.9591629655192861,1,4,5,0.0,0.3333333333333333,0.40224961146048943,0.241,A
SJB293064420,누리리,36.533978,127.29214,3,True,0,0.0,연기면,1.8518585852601899,0,0,0,0.0,0.3333333333333333,0.0,0.1,A
SJB293064493,다솜리,36.5319645,127.3198216,1,True,0,0.0,연동면,2.638501910186698,0,0,0,0.0,1.0,0.0,0.3,B
SJB293064416,산학연클러스터,36.501718,127.328826,2,True,0,0.0,집현동,0.47279037808005714,1,3,4,0.0,0.5,0.3613184615819645,0.276,A
SJB293064418,집현리,36.498135,127.322785,2,True,0,0.0,집현동,0.9763488277798918,1,3,4,0.0,0.5,0.3613184615819645,0.276,A
SJB293064257,반곡동(수루배마을),36.497739,127.312279,2,True,0,0.0,반곡동,0.0600760747227684,17,10,27,0.0,0.5,0.7480791883870117,0.412,A
SJB293064261,국책연구단지,36.492195,127.304331,2,True,0,0.0,반곡동,0.8891562140546194,17,10,27,0.0,0.5,0.7480791883870117,0.412,A
SJB293064254,"법원.검찰청,경찰청",36.486842,127.301429,2,True,0,0.0,소담동,0.5926135995822741,22,8,30,0.0,0.5,0.7709293811404035,0.42,A
