address,lat,lon
"세종특별자치시 한누리대로 2275, 알파메디컬센터 4~6층 (대평동)",36.472,127.275
"세종특별자치시 갈매로 58, 황산프라자 3층 6층 (대평동)",36.472,127.275
"세종특별자치시 나성북로 15, MVG 4-7층 (나성동)",36.507,127.258
"세종특별자치시 보듬3로 101, 5~7층 (아름동)",36.488,127.28
"세종특별자치시 대평4길 17, 센트럴테라스 4, 5층 (대평동)",36.472,127.275
"세종특별자치시 보듬7로 20, 세종충남대학교병원 (도담동)",36.498,127.27
"세종특별자치시 한누리대로 331, 2층,3층 (301~315)호 (나성동, SR파크센텀)",36.507,127.258
"세종특별자치시 한누리대로 1934, 메인타워 (반곡동)",36.462,127.283
"세종특별자치시 한누리대로 161, 세종시 NK리움힐 상가 1~8층 (나성동)",36.507,127.258
"세종특별자치시 도움8로 87, 단국빌딩 1(일부), 3층 (어진동)",36.498,127.268
"세종특별자치시 연서면 효교로 135-16, 은혜병원",36.567,127.24
세종특별자치시 전동면 모산고개길 96-25,36.59,127.31
세종특별자치시 연서면 도신고복로 789-17,36.567,127.24
세종특별자치시 조치원읍 섭골길 37,36.602,127.297
"세종특별자치시 한누리대로 1844, 행복드림타워 3층 308~313호 (반곡동)",36.462,127.283
"세종특별자치시 소담로 87, 6층 602호 (소담동)",36.544,127.258
"세종특별자치시 나성북로 15, MVG 2층 204~207, 211~212호 (나성동)",36.507,127.258
"세종특별자치시 보듬3로 8-20, 세종한신휴시티 2층 209호 (도담동)",36.498,127.27
"세종특별자치시 한누리대로 2149, 엔젤타워 3층 305,306호 (보람동)",36.553,127.268
"세종특별자치시  세종로 1229, 스타플레이스 201~209, 301~303, 308~310호 (고운동) (고운동)",36.51,127.248
"세종특별자치시 해밀3로 51, 스카이허브 7층 701호~703호 (해밀동)",36.535,127.272
"세종특별자치시 조치원읍 조치원로 24, 2,3층",36.602,127.297
"세종특별자치시 보듬3로 143, 대영프라자 402호, 403호 (아름동)",36.488,127.28
"세종특별자치시 갈매로 740, 201~207호 (해밀동)",36.535,127.272
"세종특별자치시  나성로 96, 520-526호 (나성동)",36.507,127.258
"세종특별자치시 한누리대로 499, 청암빌딩 401호 (어진동)",36.498,127.268
"세종특별자치시 소담로 93, 아이콤스타시티타워 205,206,207호 (소담동)",36.544,127.258
"세종특별자치시 한누리대로 245, 에스알파크원 203호 (나성동)",36.507,127.258
"세종특별자치시 한누리대로 499, 청암빌딩 403호 (어진동)",36.498,127.268
"세종특별자치시 한누리대로 492, 청암홈빌딩 306호 (어진동)",36.498,127.268
"세종특별자치시 도움3로 105-5, 종촌 중앙프라자 204,205,206호 (종촌동)",36.503,127.255
"세종특별자치시 한누리대로 1834, 401,402,403호 (반곡동)",36.462,127.283
"세종특별자치시 한누리대로 253, 에스빌딩 202호 (나성동)",36.507,127.258
"세종특별자치시 해밀3로 43, 스카이드림 503호 (해밀동)",36.535,127.272
"세종특별자치시 아름서1길 13-12, 세종 제이디빌딩 203호 (아름동)",36.488,127.28
세종특별자치시 금남면 채나무길 71,36.538,127.336
"세종특별자치시 보듬3로 143, 대영프라자 603호 (아름동)",36.488,127.28
"세종특별자치시 한누리대로 350, 뱅크빌딩 4층 404호 (어진동)",36.498,127.268
"세종특별자치시 한누리대로 1844, 404,405,406호 (반곡동)",36.462,127.283
"세종특별자치시 국세청로 32, 마크원애비뉴 D-406,407,410,411,412,413A,413B,414A,414B,415, C-401 (나성동)",36.507,127.258
"세종특별자치시 다정중앙로 52, 페스티발2 507,508,509호 (다정동)",36.527,127.265
"세종특별자치시 해밀3로 51, 스카이허브 402호 (해밀동)",36.535,127.272
"세종특별자치시 고운서길 7, 골드프라자 202호 (고운동)",36.51,127.248
"세종특별자치시 한누리대로 2165, 호려울마을7단지 근린생활시설 A-424,425호 (보람동)",36.553,127.268
"세종특별자치시 한누리대로 249, 에스제이타워 508,509호 (나성동)",36.507,127.258
"세종특별자치시 새롬중앙로 59, 새롬빌딩 5층 502,503호 (새롬동)",36.519,127.258
"세종특별자치시 갈매로 58, 황산프라자 5층 501~511호 (대평동)",36.472,127.275
"세종특별자치시 마음로 264, 고운프라자 2층 205호 (고운동)",36.51,127.248
"세종특별자치시 한누리대로 1844, 402,403호 (반곡동)",36.462,127.283
"세종특별자치시 나성북로 30, 퍼스트원 628,629,630,631호 (나성동)",36.507,127.258
"세종특별자치시 나성북1로 12, 메가타워2 301호 (나성동)",36.507,127.258
"세종특별자치시 해밀3로 51, 스카이허브 3층 301호 (해밀동)",36.535,127.272
"세종특별자치시 보듬3로 92, 해피라움2 3층 301,302,315호 (아름동)",36.488,127.28
"세종특별자치시 남세종로 73, 1층 109,110호 (집현동)",36.465,127.278
"세종특별자치시 한누리대로 411, KT&G세종타워A 2층 3호 (어진동)",36.498,127.268
"세종특별자치시 보듬3로 101, 2층 203,204,205호 (아름동)",36.488,127.28
"세종특별자치시 한누리대로 275, 형성프라자 6층 606,607호 (나성동)",36.507,127.258
"세종특별자치시 보듬3로 101, 2층 201,202호 (아름동)",36.488,127.28
"세종특별자치시 한누리대로 2275, 알파메디컬센터 3층 312,313호 (대평동)",36.472,127.275
"세종특별자치시 마음로 264, 고운프라자 2층 201-1호, 201-2호 (고운동)",36.51,127.248
