address,lat,lon
세종특별자치시 조치원읍 대동학교길 11,36.602,127.297
세종특별자치시 조치원읍 조치원10길 35,36.602,127.297
세종특별자치시 조치원읍 새내 18길 21,36.602,127.297
세종특별자치시 조치원읍 서북부로 10,36.602,127.297
세종특별자치시 연기면 연기길 2,36.558,127.315
세종특별자치시 연동면 청연로 606-36,36.57,127.325
세종특별자치시 부강면 부강로 15,36.53,127.355
세종특별자치시 금남면 금남구즉로 62,36.538,127.336
세종특별자치시 금남면 감성길 6,36.538,127.336
세종특별자치시 장군면 장척로 398-9,36.53,127.235
세종특별자치시 장군면 태산길 50-1,36.53,127.235
세종특별자치시 연서면 도원로 63,36.567,127.24
세종특별자치시 연서면 당산로 357-1,36.567,127.24
세종특별자치시 연서면 연서로 148,36.567,127.24
세종특별자치시 연서면 벌말길 73,36.567,127.24
세종특별자치시 전의면 운주산로 1204-9,36.614,127.325
세종특별자치시 전동면 하노장3길 9,36.59,127.31
세종특별자치시 소정면 학교말길 10,36.625,127.28
세종특별자치시 반곡2길 21,36.462,127.283
세종특별자치시 집현서로 90 (집현동),36.465,127.278
세종특별자치시 노을1로 27,36.4804,127.28957
세종특별자치시 누리로 32,36.4804,127.28957
세종특별자치시 보람로 33,36.553,127.268
세종특별자치시 다솜로 291,36.4804,127.28957
세종특별자치시 달빛2로 29,36.4804,127.28957
세종특별자치시 도움3로 47-9,36.4804,127.28957
세종특별자치시 나리로 26-10,36.4804,127.28957
세종특별자치시 보람로 71,36.553,127.268
세종특별자치시 달빛1로 107,36.4804,127.28957
세종특별자치시 보듬8로 13,36.4804,127.28957
세종특별자치시 만남로 47,36.4804,127.28957
세종특별자치시 만남로 264,36.4804,127.28957
세종특별자치시 만남로 223,36.4804,127.28957
세종특별자치시 만남로 170,36.4804,127.28957
세종특별자치시 마음로 130,36.4804,127.28957
세종특별자치시 도움1로 43,36.4804,127.28957
세종특별자치시 도움1로 164,36.4804,127.28957
세종특별자치시 도움3로 126,36.4804,127.28957
세종특별자치시 달빛1로 5,36.4804,127.28957
세종특별자치시 다솜1로 175,36.4804,127.28957
세종특별자치시 다솜1로 130,36.4804,127.28957
세종특별자치시 마음안1로 22,36.4804,127.28957
세종특별자치시 소담4로 14,36.544,127.258
세종특별자치시 소담1로 25,36.544,127.258
세종특별자치시 남세종로 416,36.4804,127.28957
세종특별자치시 새롬서로 56,36.519,127.258
세종특별자치시 새롬중앙로 38-11,36.519,127.258
세종특별자치시 세종로 933,36.4804,127.28957
세종특별자치시 시청대로 106,36.4804,127.28957
세종특별자치시 보람1길 15,36.553,127.268
세종특별자치시 소담3로 26,36.544,127.258
세종특별자치시 다정4길 15,36.527,127.265
세종특별자치시 다정남로 33,36.527,127.265
세종특별자치시 다정남로 91,36.527,127.265
세종특별자치시 다정북로 137,36.527,127.265
세종특별자치시 보람서로 29,36.553,127.268
세종특별자치시 대평1길 17,36.472,127.275
세종특별자치시 반곡3길 10,36.462,127.283
세종특별자치시 해밀1로 75,36.535,127.272
세종특별자치시 시청대로 464,36.4804,127.28957
세종특별자치시 중앙공원서로 11,36.4804,127.28957
세종특별자치시 집현서로 25,36.4804,127.28957
세종특별자치시 산울동 281,36.4804,127.28957
세종특별자치시 산울8로 1,36.4804,127.28957
세종특별자치시 조치원읍 새내18길 21,36.602,127.297
세종특별자치시 연기면 눌왕길 8-45,36.558,127.315
세종특별자치시 노을1로 29,36.4804,127.28957
세종특별자치시 달빛로 174,36.4804,127.28957
세종특별자치시 도움3로 37,36.4804,127.28957
세종특별자치시 나리로 26-16,36.4804,127.28957
세종특별자치시 달빛1로 108,36.4804,127.28957
세종특별자치시 보듬8로 11,36.4804,127.28957
세종특별자치시 만남로 45,36.4804,127.28957
세종특별자치시 만남로 227,36.4804,127.28957
세종특별자치시 만남로 174,36.4804,127.28957
세종특별자치시 마음로 132,36.4804,127.28957
세종특별자치시 도움1로 160,36.4804,127.28957
세종특별자치시 달빛1로 7,36.4804,127.28957
세종특별자치시 다솜1로 183,36.4804,127.28957
세종특별자치시 마음로 208,36.4804,127.28957
세종특별자치시 소담1로 35,36.544,127.258
세종특별자치시 보람동로 39,36.553,127.268
세종특별자치시 새롬중앙1로 27,36.519,127.258
세종특별자치시 새롬남로 75,36.519,127.258
세종특별자치시 세종로 941,36.4804,127.28957
세종특별자치시 보람1길 9,36.553,127.268
세종특별자치시 소담로 121,36.544,127.258
세종특별자치시 다정남로 35,36.527,127.265
세종특별자치시 다정남로 93,36.527,127.265
세종특별자치시 다정북로 139,36.527,127.265
세종특별자치시 대평1길 19,36.472,127.275
세종특별자치시 시청대로 468,36.4804,127.28957
세종특별자치시 해밀1로 73,36.535,127.272
세종특별자치시 갈매로 294,36.4804,127.28957
세종특별자치시 집현서로 23,36.4804,127.28957
세종특별자치시 산울3로 33,36.4804,127.28957
세종특별자치시 산울7로 33,36.4804,127.28957
세종특별자치시 조치원읍 대첩로 90,36.602,127.297
세종특별자치시 조치원읍 새내로 160,36.602,127.297
세종특별자치시 연동면 내판로 10-13,36.57,127.325
세종특별자치시 부강면 부강로 25-7,36.53,127.355
세종특별자치시 대평로 27,36.472,127.275
세종특별자치시 장군면 장척로 359,36.53,127.235
세종특별자치시 연서면 연서로 115,36.567,127.24
세종특별자치시 전의면 운주산로 1260-6,36.614,127.325
세종특별자치시 나리로 43,36.4804,127.28957
세종특별자치시 보람로 80,36.553,127.268
세종특별자치시 달빛1로 167,36.4804,127.28957
세종특별자치시 다솜로 10,36.4804,127.28957
세종특별자치시 어울로 41,36.4804,127.28957
세종특별자치시 만남로 65,36.4804,127.28957
세종특별자치시 만남로 211,36.4804,127.28957
세종특별자치시 도움1로 126,36.4804,127.28957
세종특별자치시 갈매로 512,36.4804,127.28957
세종특별자치시 남세종로 340,36.4804,127.28957
세종특별자치시 다정서로 12,36.527,127.265
세종특별자치시 새롬중앙로 62-12,36.519,127.258
세종특별자치시 남세종로 423,36.4804,127.28957
세종특별자치시 소담4로 33,36.544,127.258
세종특별자치시 다정서로 52,36.527,127.265
세종특별자치시 시청대로 480,36.4804,127.28957
세종특별자치시 해밀2로 6,36.535,127.272
세종특별자치시 갈매로 298,36.4804,127.28957
세종특별자치시 집현서로 42,36.4804,127.28957
세종특별자치시 조치원읍 조치원중고길 10,36.602,127.297
세종특별자치시 조치원읍 봉산로 16,36.602,127.297
세종특별자치시 부강면 문곡달미길 6,36.53,127.355
세종특별자치시 누리로 34,36.4804,127.28957
세종특별자치시 달빛1로 251,36.4804,127.28957
세종특별자치시 보듬4로 41,36.4804,127.28957
세종특별자치시 달빛1로 151,36.4804,127.28957
세종특별자치시 마음안로 93,36.4804,127.28957
세종특별자치시 마음안1로 53,36.4804,127.28957
세종특별자치시 달빛1로 60,36.4804,127.28957
세종특별자치시 갈매로 518,36.4804,127.28957
세종특별자치시 달빛1로 265,36.4804,127.28957
세종특별자치시 한누리대로 2176,36.4804,127.28957
세종특별자치시 새롬서로 68,36.519,127.258
세종특별자치시 남세종로 326,36.4804,127.28957
세종특별자치시 연기면 중앙공원서로 60,36.558,127.315
세종특별자치시 다정남로 15,36.527,127.265
세종특별자치시 시청대로 566,36.4804,127.28957
